day,project_id,executive_id,hours,dt
2019-01-09,3016816,6472966665163348977,4,"2019-01-11 18:50:19"
2019-01-10,3016816,6472966665163348977,4,"2019-01-11 18:50:19"
2019-01-11,3016816,6472966665163348977,4,"2019-01-11 18:50:19"
2019-01-14,3016816,6472966665163348977,4,"2019-01-11 18:50:24"
2019-01-15,3016816,6472966665163348977,4,"2019-01-11 18:50:24"
2019-01-16,3016816,6472966665163348977,4,"2019-01-11 18:50:24"
2019-01-17,3016816,6472966665163348977,4,"2019-01-11 18:50:24"
2019-01-18,3016816,6472966665163348977,4,"2019-01-11 18:50:24"
2019-01-21,3016816,6472966665163348977,4,"2019-01-11 18:50:24"
2019-01-22,3016816,6472966665163348977,4,"2019-01-11 18:50:24"
2019-01-23,3016816,6472966665163348977,4,"2019-01-11 18:50:24"
2019-01-24,3016816,6472966665163348977,4,"2019-01-11 18:50:24"
2019-01-25,3016816,6472966665163348977,4,"2019-01-11 18:50:24"
2019-01-28,3016816,6472966665163348977,4,"2019-01-11 18:50:28"
2019-01-29,3016816,6472966665163348977,4,"2019-01-11 18:50:28"
2019-01-30,3016816,6472966665163348977,4,"2019-01-11 18:50:28"
2019-01-31,3016816,6472966665163348977,4,"2019-01-11 18:50:28"
2019-02-01,3016816,6472966665163348977,4,"2019-01-11 18:50:28"
2019-01-09,3016817,5625394194018276490,1,"2019-01-09 16:47:22"
2019-01-10,3016817,5625394194018276490,1,"2019-01-09 16:47:22"
2019-01-11,3016817,5625394194018276490,1,"2019-01-09 16:47:22"
2019-01-14,3016817,5625394194018276490,3,"2018-11-27 00:52:54"
2019-01-15,3016817,5625394194018276490,3,"2018-11-27 00:52:54"
2019-01-16,3016817,5625394194018276490,3,"2018-11-27 00:52:54"
2019-01-17,3016817,5625394194018276490,3,"2018-11-27 00:52:54"
2019-01-18,3016817,5625394194018276490,3,"2018-11-27 00:52:57"
2019-01-21,3016817,5625394194018276490,1,"2019-01-18 18:24:08"
2019-01-22,3016817,5625394194018276490,1,"2019-01-18 18:24:08"
2019-01-23,3016817,5625394194018276490,0,"2019-01-23 16:29:21"
2019-01-24,3016817,5625394194018276490,0,"2019-01-23 16:29:21"
2019-01-28,3016817,5625394194018276490,3,"2018-11-27 00:52:58"
2019-01-29,3016817,5625394194018276490,3,"2018-11-27 00:52:58"
2019-01-30,3016817,5625394194018276490,3,"2018-11-30 16:36:19"
2019-01-31,3016817,5625394194018276490,3,"2018-11-30 16:36:19"
2019-02-01,3016817,5625394194018276490,0,"2019-01-31 16:30:19"
2019-01-09,3016808,6621860154679826121,3,"2018-12-25 19:36:58"
2019-01-10,3016808,6621860154679826121,3,"2018-12-25 19:36:58"
2019-01-11,3016808,6621860154679826121,3,"2018-12-25 19:36:58"
2019-01-14,3016808,6621860154679826121,3,"2018-12-25 19:37:01"
2019-01-15,3016808,6621860154679826121,0,"2019-01-15 17:39:27"
2019-01-16,3016808,6621860154679826121,0,"2019-01-15 17:39:27"
2019-01-17,3016808,6621860154679826121,0,"2019-01-15 17:39:27"
2019-01-18,3016808,6621860154679826121,0,"2019-01-15 17:39:27"
2019-01-09,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-10,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-11,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-14,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-15,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-16,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-17,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-18,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-21,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-22,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-23,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-24,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-25,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-28,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-29,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-30,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-31,3016539,5500848513325571014,4,"2018-12-03 11:59:18"
2019-01-09,3016539,6410283601753116548,0,"2018-12-27 20:23:02"
2019-01-10,3016539,6410283601753116548,0,"2018-12-27 20:23:02"
2019-01-11,3016539,6410283601753116548,0,"2018-12-27 20:23:02"
2019-01-14,3016539,6410283601753116548,0,"2018-12-27 20:23:02"
2019-01-15,3016539,6410283601753116548,0,"2018-12-27 20:23:02"
2019-01-16,3016539,6410283601753116548,0,"2018-12-27 20:23:02"
2019-01-17,3016539,6410283601753116548,0,"2018-12-27 20:23:02"
2019-01-18,3016539,6410283601753116548,0,"2018-12-27 20:23:02"
2019-01-21,3016539,6410283601753116548,0,"2018-12-27 20:23:05"
2019-01-22,3016539,6410283601753116548,0,"2018-12-27 20:23:05"
2019-01-23,3016539,6410283601753116548,0,"2018-12-27 20:23:05"
2019-01-24,3016539,6410283601753116548,0,"2018-12-27 20:23:05"
2019-01-25,3016539,6410283601753116548,0,"2018-12-27 20:23:05"
2019-01-28,3016539,6410283601753116548,0,"2018-12-27 20:23:08"
2019-01-29,3016539,6410283601753116548,0,"2018-12-27 20:23:08"
2019-01-30,3016539,6410283601753116548,0,"2018-12-27 20:23:08"
2019-01-31,3016539,6410283601753116548,0,"2018-12-27 20:23:08"
2019-01-09,3016539,6051914588591616764,8,"2018-12-26 21:46:52"
2019-01-10,3016539,6051914588591616764,8,"2018-12-26 21:46:52"
2019-01-11,3016539,6051914588591616764,8,"2018-12-26 21:46:52"
2019-01-14,3016539,6051914588591616764,8,"2018-12-26 21:47:04"
2019-01-15,3016539,6051914588591616764,8,"2018-12-26 21:47:04"
2019-01-17,3016539,6051914588591616764,8,"2018-12-26 21:47:04"
2019-01-16,3016539,6051914588591616764,8,"2018-12-26 21:47:04"
2019-01-18,3016539,6051914588591616764,8,"2018-12-26 21:47:04"
2019-01-21,3016539,6051914588591616764,8,"2018-12-26 21:47:04"
2019-01-22,3016539,6051914588591616764,8,"2018-12-26 21:47:04"
2019-01-23,3016539,6051914588591616764,8,"2018-12-26 21:47:04"
2019-01-24,3016539,6051914588591616764,8,"2018-12-26 21:47:04"
2019-01-25,3016539,6051914588591616764,8,"2018-12-26 21:47:04"
2019-01-28,3016539,6051914588591616764,7,"2019-01-25 20:32:32"
2019-01-29,3016539,6051914588591616764,7,"2019-01-25 20:32:32"
2019-01-30,3016539,6051914588591616764,7,"2019-01-25 20:32:32"
2019-01-31,3016539,6051914588591616764,7,"2019-01-25 20:32:32"
2019-01-09,6561002538269798810,6176609558052568913,4,"2018-12-29 15:27:21"
2019-01-10,6561002538269798810,6176609558052568913,4,"2018-12-29 15:27:21"
2019-01-11,6561002538269798810,6176609558052568913,4,"2018-12-29 15:27:21"
2019-01-15,6561002538269798810,6176609558052568913,4,"2018-12-29 15:27:24"
2019-01-16,6561002538269798810,6176609558052568913,4,"2018-12-29 15:27:24"
2019-01-14,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-15,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-16,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-18,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-17,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-22,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-25,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-14,3016574,6114037270438810381,6,"2018-12-25 19:44:14"
2019-01-15,3016574,6114037270438810381,6,"2018-12-25 19:44:14"
2019-01-17,3016574,6114037270438810381,6,"2018-12-25 19:44:16"
2019-01-18,3016574,6114037270438810381,6,"2018-12-25 19:44:21"
2019-01-09,3016574,6114037270438810381,2,"2018-12-25 19:43:43"
2019-01-10,3016574,6114037270438810381,2,"2018-12-25 19:43:43"
2019-01-11,3016574,6114037270438810381,2,"2018-12-25 19:43:43"
2019-01-16,3016574,6114037270438810381,6,"2018-12-25 19:44:14"
2019-01-21,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-23,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-24,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-28,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-29,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-30,3016575,6459702487598336816,8,"2019-01-15 16:43:21"
2019-01-31,3016575,6459702487598336816,8,"2019-01-28 14:53:08"
2019-01-18,4444406853899056045,6114037270438810381,0,"2019-02-04 15:25:51"
2019-01-21,4444406853899056045,6114037270438810381,0,"2019-01-17 16:47:41"
2019-01-22,4444406853899056045,6114037270438810381,0,"2019-01-17 16:47:41"
2019-01-23,4444406853899056045,6114037270438810381,0,"2019-01-17 16:47:41"
2019-01-24,4444406853899056045,6114037270438810381,0,"2019-01-17 16:47:41"
2019-01-25,4444406853899056045,6114037270438810381,0,"2019-01-17 16:47:41"
2019-01-09,4444406853899056045,6114037270438810381,2,"2018-12-25 19:43:45"
2019-01-10,4444406853899056045,6114037270438810381,2,"2018-12-25 19:43:45"
2019-01-11,4444406853899056045,6114037270438810381,2,"2018-12-25 19:43:45"
2019-01-14,4444406853899056045,6114037270438810381,2,"2018-12-25 19:43:58"
2019-01-15,4444406853899056045,6114037270438810381,2,"2018-12-25 19:43:58"
2019-01-16,4444406853899056045,6114037270438810381,2,"2018-12-25 19:43:58"
2019-01-17,4444406853899056045,6114037270438810381,2,"2018-12-25 19:43:58"
2019-01-29,4444406853899056045,6114037270438810381,0,"2019-01-17 16:47:42"
2019-01-30,4444406853899056045,6114037270438810381,0,"2019-01-17 16:47:49"
2019-01-31,4444406853899056045,6114037270438810381,0,"2019-01-17 16:47:49"
